feature,importance
X15,2.26561790026799
X44,1.364503716092921
X39,1.1804763888575873
X43,1.1701975769428394
X30,0.957203432721338
X2,0.5987647873298667
X24,0.5913789336858075
X18,0.4266125077194769
X23,0.4236733209100714
X16,0.37932903724804334
X26,0.3519897711736229
X17,0.3253238345568026
X27,0.3086941880136997
X14,0.2985277658341397
X19,0.27306962073639024
X0,0.21868232088282863
X9,0.18382830936050684
X22,0.15576931327851853
X20,0.154483600886028
X21,0.13623377393749286
X3,0.131160829108559
X38,0.12772620252719125
X7,0.11167147411039786
X1,0.11039160977547459
X10,0.09905665647913972
X31,0.08675836878714845
X4,0.08470236965236574
X25,0.07855425038022587
X41,0.06512945707825304
X42,0.053411412404256335
X12,0.03843795301162983
X40,0.0
X35,0.0
X37,0.0
X36,0.0
X13,0.0
X34,0.0
X33,0.0
X32,0.0
X29,0.0
X28,0.0
X6,0.0
X8,0.0
X11,0.0
X5,0.0
