feature,importance
X2,1.5146914610366449
X41,1.3172533213712083
X35,1.2135128239275481
X23,1.189095940682754
X42,1.1708015476343054
X33,0.9874190125448762
X25,0.8245900038943474
X3,0.7998642349860691
X19,0.7446973027692851
X16,0.6268806085074182
X12,0.5647445024418067
X44,0.5347653567304937
X29,0.47038626773897074
X38,0.4647508916484762
X1,0.4328753060496907
X0,0.41049932242284215
X31,0.4067086664536793
X45,0.38924879511071403
X7,0.3760738538700793
X8,0.3419524159497791
X34,0.31160672891222724
X22,0.29208469102947454
X18,0.29098260065960097
X4,0.2756161472687053
X39,0.24161080091240347
X40,0.23025590040488533
X37,0.2212404480264287
X49,0.21825468048807045
X11,0.19806086111382895
X28,0.1829253441840896
X15,0.17812485834876932
X48,0.17671231558029976
X24,0.1754872109998571
X32,0.14607591892251479
X20,0.14211461455706545
X26,0.13572002193321142
X46,0.13041838229422198
X13,0.1292906111827768
X17,0.12290644535634437
X36,0.12051967700078388
X5,0.11528395246159269
X6,0.10705043228429505
X9,0.10385410597137516
X43,0.09221847687624699
X14,0.08940443363721254
X27,0.08342862749165429
X30,0.07655320043242896
X10,0.07447206576231745
X47,0.05416731806614168
X21,0.05281383468238709
