feature,importance
X24,1.7211439432510647
X6,1.1327767886908797
X21,0.9672282436481011
X2,0.924938871841089
X30,0.8735711293068898
X45,0.8423812259629112
X44,0.6097387192081273
X33,0.5863535508253243
X16,0.5415006965685262
X47,0.528351289039382
X32,0.5145258349827256
X36,0.48498980239414924
X31,0.46204326233452525
X46,0.4447239356438557
X7,0.44303241893493966
X0,0.4196247878038653
X38,0.39566404505363983
X10,0.37746504156397725
X48,0.3173799807481948
X41,0.3043217585927653
X39,0.27695620377193525
X15,0.25609374136082375
X12,0.24946174505985205
X3,0.23062307890599407
X5,0.20621251749551234
X49,0.18731198865326892
X9,0.16837502960871453
X13,0.16159365860152802
X26,0.13839447766565433
X17,0.13774885428890393
X40,0.12316957657758605
X11,0.12043807888940516
X4,0.11685404341478717
X18,0.11604574348892106
X37,0.11315264633533134
X42,0.11143642256933478
X14,0.11137867972599512
X35,0.10805482083709737
X29,0.10775959716574002
X8,0.1043910707137373
X34,0.09873771516242373
X22,0.08753061015931296
X1,0.08480093575974969
X28,0.08335614591900889
X27,0.07781311615781367
X43,0.0748249187499267
X23,0.07076862562945191
X19,0.05691325603094203
X20,0.03825636046910174
X25,0.02970818619757042
