feature,importance
X3,0.14519836297791072
X11,0.12909933522877992
X30,0.0874568472636781
X45,0.08037627532502756
X14,0.06910541986116954
X40,0.0654041963213562
X49,0.05769581453739672
X22,0.05438110906130019
X6,0.05134726582908536
X4,0.05088808705458006
X0,0.04995962728254082
X19,0.047113637304960765
X32,0.046040026128195126
X42,0.044114982675242186
X5,0.04156555231869326
X46,0.04083896990220563
X29,0.03765214670793787
X26,0.0363579185479619
X16,0.033992194347766826
X10,0.03233091988066926
X34,0.03186271661086359
X18,0.030650741268580486
X17,0.030590086316836955
X24,0.030393053918932586
X48,0.02902211145278726
X43,0.027273320367058193
X12,0.027020685722012452
X20,0.026690478412139607
X8,0.026123693342433474
X13,0.02423636059615373
X1,0.024207287238575844
X37,0.022983084435901864
X25,0.022819076364650814
X31,0.022654183232454495
X2,0.02128395097330833
X38,0.020665421927821788
X33,0.01973689100269404
X39,0.018851613382367224
X44,0.017685586820204807
X9,0.01734248639759227
X7,0.016639334995422722
X28,0.016251970584011496
X41,0.016152699584262478
X35,0.015257590292613985
X47,0.01370751072943312
X15,0.013251166266207336
X21,0.013077198931463883
X23,0.012795162818463511
X36,0.01139518041957328
X27,0.009136793494587667
