feature;true_parent;Scratch_mean_shap;Scratch_mean_abs_shap;Scratch_rank;Asymmetric_PC_mean_shap;Asymmetric_PC_mean_abs_shap;Asymmetric_PC_rank;Causal_PC_mean_shap;Causal_PC_mean_abs_shap;Causal_PC_rank;Flow_PC_mean_shap;Flow_PC_mean_abs_shap;Flow_PC_rank;Asymmetric_LiNGAM_mean_shap;Asymmetric_LiNGAM_mean_abs_shap;Asymmetric_LiNGAM_rank;Causal_LiNGAM_mean_shap;Causal_LiNGAM_mean_abs_shap;Causal_LiNGAM_rank;Flow_LiNGAM_mean_shap;Flow_LiNGAM_mean_abs_shap;Flow_LiNGAM_rank
X4;False;-0,03878428401812868;0,11385655155450225;31;-0,033482692835945;0,12151303002035982;31;-0,01090410197151709;0,11698590843393618;43;-0,013908821608500129;0,0774094100189052;38;-0,019431063593325824;0,11485462036193556;31;0,002717177587765784;0,0415687053537898;50;0,004324665639546797;0,09044591251525473;34
X45;False;0,009764161805528013;0,11093835314349425;32;-0,015634191177978526;0,11519175301389618;32;0,033150690886251985;0,13065594697445063;38;0,010225667947188438;0,06642822042475985;39;-0,02360954354979914;0,11566228428477317;30;0,026766786838810466;0,10266922090916025;46;0,01882452397467962;0,05199513149954133;44
X31;False;0,00198533070642282;0,08913598966453737;33;-0,003117850236264268;0,0961440832906994;34;0,042350701665741106;0,12642211735270587;39;-0,019790546085979414;0,3036444013206247;17;0,004560536957537008;0,10354857718137779;32;0,0022344439684618034;0,06454527851684153;49;-0,0006028535710415664;0,051747231107845675;45
X22;False;-0,0008766157371786124;0,07185262231892967;34;0,004855334552772096;0,086612576531821;35;0,022415445052768598;0,12063416368173505;42;-0,0007968600497856595;0,01866624839669963;46;0,0015005844720001249;0,07216341352621317;35;-0,014335199351143574;0,13839929143453092;39;0,019142733805245653;0,11668263258852839;29
X1;False;0,0024161629413571133;0,07180738924947018;35;0,0012058059614424544;0,11060311068656738;33;0,009925193505724935;0,06549036356196927;48;-0,0059791054741993995;0,034145177440679346;43;0,036278770037927385;0,07764227309315373;34;0,02618854141844478;0,30840868463681786;23;-0,056857708853885885;0,60830941951799;3
X37;False;0,008182661254807091;0,06316846247726021;36;-0,0036264646852808263;0,07249567251462408;36;-0,011773572703795192;0,09950571900638933;47;0,0002750519347924245;0,033313981693222756;44;0,017052270361837926;0,05944487819526592;36;-0,003383528201716982;0,10764286203346199;43;-0,014143597242470694;0,12618849748401703;28
X28;True;0,017553494950316537;0,05881505312935316;37;0,01673909611287745;0,05976422647172046;37;0,019645775023839712;0,10695050892630203;45;-0,023894172310456773;0,4797624896000518;12;0,016317866288900043;0,05567230855557203;38;0,008349888167855752;0,13520084236087584;40;-0,0208880373730296;0,11271901860220795;30
X2;False;0,006132857558084297;0,051652313123551175;38;0,017241858126508188;0,057630376434126614;38;-0,22818065233693446;1,568156688635822;1;-0,12007048787366431;0,754881228460693;5;0,014382902373272817;0,05889399521846648;37;-0,035753530110890996;0,2983331339291116;24;0,005462071057882973;0,0985363106764615;33
X46;True;0,013566433914745579;0,04899567335402008;39;0,006754611287686766;0,04726804088365031;42;0,07636580545700426;0,25232320331028146;22;0,0004334417701121057;0,13419983676686198;30;0,0031736507719781117;0,04796711571742105;41;-0,10002527325090084;0,3730890377745974;20;-0,007166900112903969;0,18886912381213197;17
X44;False;0,0023188366460762896;0,047088896494990734;40;0,016165973486600652;0,04924976274647978;41;0,034448862631718084;0,13542565520178368;37;0,0018717757197480422;0,09799728632797783;34;-0,0021730117604469414;0,049573015353068024;39;0,006591523369702088;0,17506057187584223;34;0,006122921630209338;0,06921901568186513;42
X18;False;-0,004752374829278535;0,04528870816172688;41;-0,007367453373710445;0,05375837034165125;39;0,00564300928773018;0,1395657321893825;36;-0,030604503549120116;0,198114875630886;25;0,009980850536639978;0,04608054627239144;42;-0,005554288318349321;0,09553800621745018;47;-0,03181091919553037;0,2622371777269567;13
X11;False;0,011225272482160995;0,040495708011416845;42;0,010798292104385893;0,0517839058798839;40;0,002265455220877118;0,10496597295162764;46;0,0039096991062309095;0,017905463250725576;47;0,01082259382989413;0,04863111034335525;40;-0,010858389045718614;0,07375207171563714;48;0,01389697205195923;0,06477309880170579;43
X29;False;0,001214540645599927;0,033106311090491065;43;0,0067216993578328365;0,024756314153544734;48;0,01336555703851122;0,12311313158928586;41;0,003388880603092926;0,05431971517152132;41;-0,004945756516174542;0,038355160737818424;44;-0,09945872113652438;0,6206739672015315;9;-0,016957360985313898;0,07903862649097101;38
X34;False;0,0005162365655734498;0,03187368780922792;44;-0,013404730389353853;0,03594280650305425;46;-0,0369065641157186;0,4404209028603674;15;-0,06177189957127936;0,5107950723431188;10;0,007721593443576177;0,03807915949282955;45;0,021484199631769407;0,1858708230914465;32;-0,0453684877993718;0,1604187886884481;21
X25;False;0,001574462973499688;0,031086621290011905;45;0,004912457892986244;0,0379737189990295;43;-0,009305008522962685;0,06261547968436401;49;0,002744408189745855;0,019257613978831502;45;-0,002894267143840098;0,03083467907215147;46;0,018002786782328056;0,1486987663445954;38;-0,009694449373886933;0,14812621147548746;23
X24;False;0,007559369382618289;0,029250361315035583;46;-0,006211620990430564;0,037109871679187716;44;-0,016639614862845778;0,10904271090677212;44;0,0007974327584177349;0,010260278259220856;48;-0,0024531633679512822;0,041024181271466266;43;-0,005214629924743462;0,17495391852331926;35;-0,002150324272009145;0,04393331949329556;47
X23;True;-0,0006858689069546084;0,0241495525548679;47;0,0039605618696236895;0,022169995760308182;49;-0,005164202715434286;0,19052264196815624;28;-0,007617691365782933;0,23789285591911188;22;-0,005941489017229313;0,03011668071809928;47;-0,01070272936789695;0,1307739273299967;41;-0,001236545203693168;0,08193493210735897;37
X41;False;-0,008434482422659552;0,02376167168361111;48;-0,006233254128087682;0,036769722846477594;45;0,015464060054705318;0,12503565739065736;40;-0,001784486031619129;0,009349990511835262;49;-0,0126633718503312;0,025472613711405034;48;-0,031545450391358115;0,6062249775553021;11;0,018205996182489876;0,1492191826454192;22
X21;False;-4,140627775587272e-05;0,021067396884922623;49;-0,011743442951419708;0,032580423814244454;47;-0,0013117703015588177;0,04322269137141403;50;0,0009060648033068214;0,008162681048666605;50;0,00820803794022276;0,01878094085262272;49;-0,0076854059784938165;0,10322822040234453;44;-0,005878348381504369;0,35342668776638264;8
X16;False;-0,0008331892740620582;0,017113737044381447;50;0,004914926596850496;0,014393506116415877;50;0,01344242230408384;0,40310146856867013;17;0,009710995394223954;0,0826975080112709;37;0,009239862069801957;0,01540249126968391;50;0,014610188618696033;0,29107000233048647;25;-0,04297587951665441;0,33813434767863776;9
