feature,importance
X33,1.4683323792618497
X24,1.4089028463775641
X47,1.0830659951249582
X46,0.8656515722355355
X7,0.7544059949648737
X41,0.7486993002117742
X48,0.698299104861471
X39,0.5741888179176315
X44,0.5030050077852518
X6,0.4563771789160219
X49,0.374058187966394
X30,0.34397238638566846
X0,0.32167527781118466
X40,0.30752079951957967
X15,0.2143091429235938
X2,0.15183292421712716
X5,0.12557272839965342
X1,0.08784763290454217
X4,0.08109423729947282
X45,0.0753424817165342
X13,0.07283493179397853
X19,0.06001304218582099
X37,0.056468657027235095
X12,0.054765221586723846
X38,0.050204759159523854
X42,0.04792699411176522
X20,0.046771836156772745
X10,0.04317461692204984
X22,0.04264631926913126
X35,0.03827654655568584
X25,0.03668194962322233
X8,0.032891234807619664
X17,0.032116478314940286
X18,0.03130187916655013
X21,0.02992055326415361
X31,0.027873974319716353
X28,0.02702544061656322
X23,0.024524692375663047
X36,0.02267769387540028
X43,0.02123551951740545
X32,0.021029651823028295
X27,0.017639943697754897
X9,0.01744995153096887
X29,0.016512366058796465
X26,0.016492111611722288
X34,0.01532564098684209
X11,0.014447672677802767
X16,0.013641418813751208
X14,0.01265448941670056
X3,0.006089030092884648
