feature,importance
X24,2.1915812925821205
X33,1.623989208800774
X21,0.9810932265792383
X30,0.8740062922196259
X45,0.7237640628296889
X32,0.5347381924982649
X44,0.5268835369632346
X47,0.5224476186301471
X10,0.4892958966819029
X0,0.4345584740165528
X4,0.42796184120021485
X39,0.4224122696251774
X46,0.4097057371809415
X6,0.38794141189778286
X31,0.3418070415780655
X7,0.3309771210369913
X41,0.3049634361172593
X2,0.3002907571759371
X48,0.28971131533521866
X12,0.27672791034410443
X5,0.2734864633721034
X9,0.22760600189067365
X26,0.200585951083125
X49,0.1931728940533797
X40,0.19309709127056213
X3,0.1699038800962478
X17,0.1367135012601088
X15,0.12267425454774995
X22,0.11764706259877959
X11,0.1115482848730029
X34,0.10455457277215835
X37,0.10454262613183722
X27,0.10343456977184493
X42,0.09872958111658903
X1,0.09688996343955786
X35,0.09403531162365387
X13,0.08957341297470638
X14,0.08215019883914099
X23,0.07793265077742116
X16,0.07308907403182956
X18,0.07097333601792169
X8,0.07038376013979784
X28,0.06763521548194343
X19,0.06105270829358775
X38,0.060038247660371705
X29,0.05988940336622453
X25,0.0566896208306105
X43,0.05571055343517415
X20,0.04497635508883434
X36,0.03873547108264068
