feature,importance
X3,0.10296537156847572
X45,0.08289165884550873
X49,0.08067325845610158
X43,0.07668145488461488
X11,0.07634466742400715
X30,0.07373771994900018
X40,0.05388489062079895
X46,0.045997184038175515
X8,0.04089581814437302
X22,0.0366486418503087
X26,0.03647152238226588
X24,0.03507817867680979
X37,0.03375848429839629
X33,0.031731669266326916
X42,0.029106561694105467
X44,0.02627704561127708
X25,0.026194864169031985
X19,0.0226193515339279
X20,0.021564408499052824
X17,0.020985086519685017
X13,0.017109579790254542
X12,0.016926326789080976
X35,0.015923426796400516
X48,0.014157263607284061
X31,0.013214632633125407
X39,0.012857276860520662
X47,0.012430450323905879
X6,0.012075896000367608
X2,0.010655564074202333
X29,0.009452843593855098
X5,0.009420095114097365
X10,0.008871467907403766
X34,0.008769915757257944
X28,0.008653235558462934
X21,0.008598053082585455
X41,0.008250504586689234
X32,0.006810891153016719
X4,0.006357297898183144
X15,0.005719538305595366
X14,0.0039061124429674177
X18,0.0034256887258685997
X38,0.0022016409168477903
X7,0.0014131677422242917
X0,0.0013234859258783554
X16,0.0
X9,0.0
X23,0.0
X27,0.0
X1,0.0
X36,0.0
