feature,importance
X28,0.16845352768359476
X23,0.1603022239126501
X35,0.08121273976127999
X44,0.07683360670471533
X36,0.0685335277608705
X39,0.06769501890700318
X40,0.058295390645160074
X32,0.05417590351721636
X48,0.042167244384692014
X34,0.04213764353744175
X41,0.041947115045353874
X26,0.03523033188542171
X25,0.03515865446891553
X27,0.028180580808281615
X43,0.028173436731678252
X13,0.02546257757135823
X21,0.02398543162975637
X18,0.02159271619360334
X22,0.020952249139377477
X24,0.019969838422741817
X33,0.019807839780571695
X37,0.018808688993454434
X17,0.018679924824865225
X47,0.016208950583734442
X7,0.015712729300578904
X38,0.015249980198119828
X1,0.0140489719218249
X16,0.013767417262771137
X49,0.012605439358084758
X19,0.010763750739543191
X20,0.010509839130831165
X30,0.009767797732627554
X31,0.009499020384167941
X8,0.009466171759582672
X6,0.00888841674763146
X11,0.008101491016711405
X3,0.007711714442754435
X46,0.0074583082640538815
X45,0.006973583114455858
X42,0.0059430605499295585
X14,0.0054964309540554476
X10,0.004686191841564022
X29,0.004637896110091532
X9,0.004361306900871571
X2,0.004003481929257843
X0,0.003503150047750829
X5,0.0029233882163637254
X12,0.002171632047469033
X15,0.0021259113095373327
X4,0.0
