feature,importance
X33,1.4265872131364148
X24,1.3968883340241525
X47,1.1110615345781374
X46,0.8626345152498764
X41,0.7868099984485193
X7,0.7407877779377557
X48,0.6951427854012421
X39,0.5801058055083392
X44,0.49865257514326367
X6,0.46136786501673965
X49,0.3847367864012079
X30,0.34570877007296885
X0,0.3300777938960564
X40,0.30786814541230995
X15,0.214507397826292
X2,0.1487207465338236
X5,0.12502189438614322
X1,0.087394337013873
X13,0.08336367920645364
X4,0.07585821273067904
X45,0.07269301058032944
X19,0.060491022362496
X37,0.05815119578815325
X12,0.053671132907647634
X38,0.05244704411943353
X20,0.04841698581930005
X42,0.04779179481745024
X22,0.04158909810726816
X10,0.03956258189070399
X35,0.038240895371226956
X25,0.03813826623371576
X17,0.0353941059510788
X8,0.032921684147154406
X18,0.03198729084890013
X28,0.029028637891230447
X21,0.027638996439083043
X31,0.025104783694470466
X23,0.024256791985855602
X36,0.02363005494130994
X43,0.021800686247250747
X29,0.02034211876327149
X27,0.019832782637709594
X26,0.019738795569483675
X32,0.018676995959513235
X9,0.014425878473501054
X11,0.01413528721626995
X34,0.013416053161703604
X16,0.01252727849149609
X14,0.012470506146887378
X3,0.006052416605453713
