feature,importance
X27,1.2993910156205228
X36,1.1949507493028257
X0,0.8575981755568668
X33,0.7690498441094092
X2,0.754881228460693
X17,0.6337440313149671
X26,0.5677743893258478
X40,0.517793777264107
X15,0.512163222007955
X34,0.5107950723431188
X39,0.4967305696698832
X28,0.4797624896000518
X42,0.4281735759446024
X12,0.4002390392187809
X10,0.3584010299403166
X5,0.3044485782851811
X31,0.3036444013206247
X14,0.2933247913569958
X49,0.27831634065310046
X38,0.2577259352879651
X7,0.24483204821047228
X23,0.23789285591911188
X48,0.21949934460339787
X19,0.20380369234522797
X18,0.198114875630886
X8,0.1980292161718176
X30,0.17925520233674364
X47,0.1785894948846954
X20,0.17054038774776686
X46,0.13419983676686198
X9,0.13205807438400194
X43,0.12199380353536174
X13,0.1123427219445809
X44,0.09799728632797783
X3,0.09361732610730705
X35,0.09078153580622254
X16,0.0826975080112709
X4,0.0774094100189052
X45,0.06642822042475985
X6,0.06295028966712397
X29,0.05431971517152132
X32,0.04611409814894425
X1,0.034145177440679346
X37,0.033313981693222756
X25,0.019257613978831502
X22,0.01866624839669963
X11,0.017905463250725576
X24,0.010260278259220856
X41,0.009349990511835262
X21,0.008162681048666605
