feature,importance
X17,1.2216737151960222
X14,1.0433750382756815
X27,1.0313335050325652
X36,0.9719387493543102
X26,0.8884113389450629
X39,0.714501540433362
X33,0.7069589775042333
X20,0.6141676730909296
X5,0.5435449490492398
X9,0.5288422065397661
X48,0.5171352222346358
X15,0.5054596844738538
X38,0.43034790992574573
X43,0.41501702235357046
X40,0.35822680068441476
X0,0.33547102949585184
X7,0.3006168011461725
X42,0.2771607589973193
X13,0.2696023400014479
X49,0.2361492191773474
X3,0.23275006015509572
X12,0.22958574755504363
X6,0.22584906568018318
X8,0.19026356184496432
X35,0.18875447411007984
X32,0.1578044982118776
X30,0.15140997087388194
X19,0.14697098693906221
X47,0.1436142008338113
X10,0.1348862712126153
X4,0.12151303002035982
X45,0.11519175301389618
X1,0.11060311068656738
X31,0.0961440832906994
X22,0.086612576531821
X37,0.07249567251462408
X28,0.05976422647172046
X2,0.057630376434126614
X18,0.05375837034165125
X11,0.0517839058798839
X44,0.04924976274647978
X46,0.04726804088365031
X25,0.0379737189990295
X24,0.037109871679187716
X41,0.036769722846477594
X34,0.03594280650305425
X21,0.032580423814244454
X29,0.024756314153544734
X23,0.022169995760308182
X16,0.014393506116415877
