feature,importance
X24,1.8964362064880038
X47,1.6714296255285996
X46,1.1942069785939409
X48,0.876652123923698
X44,0.7648785197782104
X2,0.44000756693940263
X40,0.4086205281251793
X31,0.37818538840914
X41,0.36651114138889646
X4,0.3052047384457371
X10,0.28401937308627173
X33,0.2834574132173463
X43,0.2695664016344621
X5,0.2676369619729589
X12,0.2607842450112625
X13,0.2530947657863513
X21,0.25182426674585523
X8,0.24403738259899807
X7,0.23449167129873424
X3,0.22306199622915113
X30,0.21648945450373044
X38,0.21459993499945676
X9,0.181094886329816
X39,0.18106803462327523
X0,0.17861226382607107
X19,0.16898477884041782
X42,0.1476780709418947
X49,0.13664653839219554
X28,0.11469256033159698
X15,0.10669904243110626
X6,0.06339260744107697
X45,0.05907244672562847
X32,0.05709923246300141
X1,0.0499420775997904
X22,0.04547140345480403
X23,0.02790516281288437
X18,0.023060474709321113
X25,0.021854007722595978
X29,0.021753123375410088
X35,0.02086573649262705
X34,0.020134898200411377
X11,0.01954611945616362
X27,0.01789589354435097
X37,0.016692917589226704
X20,0.016302660115130742
X26,0.015378083103158026
X36,0.014141526746377397
X17,0.0066835489613024076
X16,0.005602430210256071
X14,0.003940800808778852
