feature,importance
X0,0.8845651123166026
X9,0.8775155671856858
X14,0.8054239712054764
X8,0.6031373322097306
X1,0.4769892964870789
X6,0.4707803211876441
X3,0.4561425706502906
X11,0.36968893955182736
X7,0.3606810561332995
X5,0.34025944043621165
X2,0.3388506529160397
X15,0.3372125907968264
X27,0.3238148426808963
X10,0.3189538298221277
X24,0.31730867419757197
X26,0.30722410047724724
X13,0.296615735912183
X4,0.28551978162455416
X16,0.26904864314054655
X17,0.26071922999243513
X25,0.2500681843186952
X22,0.22293685701533897
X23,0.20519432085369643
X21,0.16882850108362837
X20,0.14970204284586677
X12,0.14400868066841155
X36,0.14363460531288744
X32,0.1436339387362283
X33,0.14074207255053026
X18,0.1351369267602215
X38,0.1293467953533638
X39,0.10478785825514375
X19,0.10422931775615499
X29,0.10074566845977356
X34,0.09664513539374822
X40,0.07824100415471087
X28,0.07719886820861975
X30,0.06669922856362508
X41,0.06570998236318706
X48,0.06323597010998362
X35,0.061841669938807034
X42,0.054981774545290255
X46,0.053939250932208346
X43,0.051878451391192196
X49,0.0437076469396051
X37,0.027568597181423567
X31,0.026369413961882113
X44,0.021848068439089312
X45,0.021121604303438127
X47,0.013777628383253773
