feature,importance
X42,1.096639453850615
X16,1.046989166615464
X23,1.009856226579294
X35,1.0016308647823835
X33,0.9433685251370441
X25,0.9308472101442917
X19,0.7610922136041316
X1,0.7552268049157921
X7,0.6374194968777621
X44,0.551723312034549
X45,0.5414230007413622
X31,0.5253190603462828
X38,0.4201368084898711
X12,0.4067807738323814
X28,0.40053626057838826
X3,0.3348066928461517
X11,0.32291786931683214
X18,0.3202493086107491
X39,0.3052478319307114
X48,0.29664361652808674
X49,0.27770570201365125
X8,0.2684101132250347
X34,0.26827788382166157
X37,0.26367350652385785
X17,0.26076536273276446
X5,0.25590781249362693
X26,0.22208937182217883
X29,0.21602999578352658
X22,0.19298682899813613
X43,0.1660016579014837
X36,0.16588008561037146
X9,0.16443054062728582
X32,0.15592619904835361
X41,0.14143105646656143
X20,0.1270959857079378
X40,0.11969381491932334
X6,0.11553583515117753
X46,0.1039175279286142
X4,0.0917586502162424
X2,0.06751215117270593
X47,0.06309759751782469
X27,0.06246390834803549
X21,0.0615162010541031
X30,0.04978293766690557
X10,0.04153865999514207
X0,0.04118515194865743
X13,0.03007369414333678
X14,0.0269949641731287
X24,0.02654279755434661
X15,0.024294068548049
