feature,importance
X42,1.8714002030058499
X35,1.1167318723810877
X23,0.9392712562693382
X26,0.8979129552268112
X16,0.8609413955777283
X5,0.5756788975116496
X19,0.540889306503402
X39,0.49528877955431766
X1,0.4903454318206958
X44,0.43954568844704417
X25,0.4299863058867742
X33,0.3625622484348916
X12,0.3430982795326776
X18,0.30939923318581025
X31,0.2822316119171713
X2,0.26948438283204107
X43,0.2267055401326575
X7,0.20832898306972525
X49,0.19757079485398585
X9,0.16128843249536096
X17,0.100102905494418
X6,0.09988779388636265
X32,0.08696325298187066
X38,0.08308860927173255
X22,0.07897353057639056
X21,0.07544798276466799
X41,0.055650021072877365
X47,0.0554856072759084
X24,0.045596598627043114
X34,0.04457591916635252
X3,0.043853330130250646
X13,0.042824967003841724
X8,0.038512382632204405
X20,0.03521630914110718
X45,0.03174301352419439
X10,0.02768083161074588
X40,0.027338129608189324
X11,0.026334597245842035
X0,0.0225133542835895
X14,0.022476180363256635
X28,0.021741105279712545
X30,0.020492194996997587
X27,0.019963226091925534
X4,0.015901234013499518
X29,0.0150993664306627
X48,0.014900058479249372
X37,0.0139667191034025
X46,0.01166617594672289
X15,0.011177570584831162
X36,0.00987431653676488
