feature,importance
X42,1.1024299596804883
X35,1.0457848442587097
X33,1.0176250226859807
X23,1.0033678330730904
X16,0.9828023758973923
X25,0.9306417303207948
X1,0.769723860124435
X19,0.7365919035269549
X7,0.6597239480258577
X44,0.561060488432242
X31,0.5541115957443975
X45,0.501504898898512
X12,0.42991120059156207
X28,0.41967631054823995
X38,0.4181931868282327
X3,0.3295587268689665
X11,0.32859897539042066
X39,0.3081429322835065
X18,0.2946111743223423
X48,0.2924485138697368
X8,0.2844034454801853
X34,0.26360976633126226
X49,0.26308919076917786
X17,0.2597072983727227
X29,0.2578314199533443
X5,0.24989622392334318
X37,0.2365797588264046
X26,0.21605033375342586
X22,0.20640382248535222
X36,0.16783150128840393
X9,0.16080343445694203
X43,0.15718507317916763
X32,0.14937656923897755
X41,0.1442846570744246
X20,0.1296541434149046
X6,0.11083930911294539
X4,0.10810679183701753
X40,0.10806520286319636
X46,0.09620569224483738
X2,0.07846508087901585
X27,0.06361873617979749
X47,0.05269879072831964
X21,0.05072811208599752
X0,0.04719956920443344
X10,0.03941934128279108
X30,0.03727945554935852
X14,0.027830975583401155
X13,0.023844251648140368
X24,0.022454810119408277
X15,0.018823842694315328
