feature,importance
X11,0.06472370205348307
X42,0.029380560960433354
X21,0.01259289016471468
X30,0.004546109282479736
X14,0.002668452804442141
X24,0.0015477390686243289
X4,0.0014467241551701815
X41,0.0014054017547263844
X43,0.0013700618645497073
X27,0.0012910312630711926
X13,0.0012833553917732882
X3,0.0012458809350194063
X6,0.0010514844212210018
X34,0.0010299967654152262
X49,0.000982234644683423
X45,0.0009372274161523462
X40,0.0007084137852438673
X44,0.0006816227522871768
X20,0.0006735213158499413
X19,0.000670407673757418
X25,0.0006144030725191711
X12,0.000605736695895243
X22,0.0005874592462346555
X26,0.0005835115316389056
X35,0.000570993264478628
X33,0.0005644737696131268
X9,0.0005610668635416413
X17,0.0005601708416396241
X46,0.0005301532189700802
X5,0.0005170970843358397
X47,0.0004993820306043139
X8,0.000480394317949087
X48,0.00046831980990853756
X10,0.00041612504103926063
X7,0.00035111190758470545
X28,0.0003481279320817643
X18,0.0003223962863676184
X31,0.0003120393264845792
X38,0.0002998111637064851
X2,0.0002948389828458993
X32,0.0002876132018883144
X15,0.00027620913121908976
X37,0.0002616812518726195
X39,0.00021732528163690844
X23,0.00020504590866901536
X29,0.00015694545984240054
X16,6.0970280993122305e-05
X36,0.0
X1,0.0
X0,0.0
