feature,importance
X1,1.1910418119365334
X12,0.9105970528286923
X3,0.8794881899876009
X44,0.751294029878398
X31,0.7454054308129323
X6,0.553464665944145
X45,0.5039975230389662
X2,0.4743636210635489
X29,0.46268729297452843
X7,0.42209105225777804
X22,0.3951332285452331
X9,0.3912059178498154
X25,0.37906984732075005
X8,0.36849127387020614
X23,0.36476652328312525
X35,0.318353056722324
X26,0.3161377658929799
X36,0.30933405801568464
X21,0.3082807560388854
X32,0.2705994922847886
X33,0.2700153043650675
X15,0.2613984966468854
X4,0.23585483160897652
X0,0.20921319570846328
X19,0.20241369985421
X38,0.19473940037550602
X30,0.17799588733780222
X47,0.17762757525077746
X42,0.17683884073583558
X49,0.17534534973014326
X41,0.17160994201376087
X5,0.16658472050787432
X46,0.1634620065713379
X16,0.16160422406112723
X43,0.14870684785412402
X28,0.13151494494524296
X14,0.11551528316757965
X10,0.1011369447541663
X48,0.09576329854825046
X40,0.09421094817455768
X34,0.09056511143695375
X24,0.08251482550225236
X18,0.061987074750755225
X11,0.0587790280101136
X39,0.05166814910873018
X17,0.04482983734699836
X37,0.04294966119077159
X27,0.037451898267417655
X20,0.018592790347114363
X13,0.006495822324987431
