feature,importance
X42,1.9184625231422492
X35,1.1233488554279678
X23,0.9345502797443195
X26,0.9232394599102577
X16,0.8546570825398474
X19,0.5571424008654279
X5,0.5535579596334788
X39,0.4990632378608004
X1,0.47295700317878925
X25,0.4513326861439342
X44,0.44706574438592755
X33,0.39125047886282593
X12,0.3381646601452236
X18,0.3050380933960686
X31,0.2878071685485629
X2,0.25640670492636436
X43,0.219813598441347
X7,0.2064311959855341
X49,0.19059489309069225
X9,0.15634975226851439
X6,0.10309296368368591
X17,0.09363115987483582
X32,0.08570913144103519
X38,0.08106896725330591
X22,0.08071463922161627
X21,0.07325461459166965
X41,0.05991610322430966
X47,0.0578420236046153
X24,0.04509360162329694
X34,0.044467462978675744
X3,0.04374312295456946
X13,0.040982119983339074
X8,0.03772459301713559
X20,0.03557623099043571
X45,0.03354751731989883
X40,0.02731742933266612
X11,0.02683463404123105
X10,0.023698979821611083
X14,0.021488202916833822
X27,0.021029103398503165
X28,0.020883238818082118
X0,0.019442123792048602
X30,0.018484980545135726
X4,0.01848280448224721
X29,0.014409205857389687
X46,0.01139453312850481
X36,0.010122979647979848
X15,0.009915900937394855
X48,0.008819570310582878
X37,0.007654715462843132
