feature,importance
X14,0.8699030463608992
X35,0.8572134549560686
X1,0.60830941951799
X0,0.5830144518848615
X27,0.503513448510343
X7,0.36914316583697343
X19,0.36723628986087126
X21,0.35342668776638264
X16,0.33813434767863776
X30,0.3237273782329695
X17,0.270860764567207
X20,0.2679712410510368
X18,0.2622371777269567
X49,0.2596615578386301
X10,0.24172302907720428
X36,0.2029967609342421
X46,0.18886912381213197
X38,0.1699580343031408
X40,0.16485951318988284
X9,0.16220076836321126
X34,0.1604187886884481
X41,0.1492191826454192
X25,0.14812621147548746
X15,0.14761313070815707
X42,0.14287893098277096
X12,0.139953364642429
X39,0.1296968946329737
X37,0.12618849748401703
X22,0.11668263258852839
X28,0.11271901860220795
X8,0.1085521509791716
X3,0.09944690456842085
X2,0.0985363106764615
X4,0.09044591251525473
X33,0.09007422298886639
X48,0.08610456577805156
X23,0.08193493210735897
X29,0.07903862649097101
X5,0.07865264907014796
X26,0.07757533010910532
X13,0.07279842807598773
X44,0.06921901568186513
X11,0.06477309880170579
X45,0.05199513149954133
X31,0.051747231107845675
X43,0.04902238992113024
X24,0.04393331949329556
X47,0.031498160189370364
X6,0.027569387262698787
X32,0.01675288948674331
