dataset,model,causal_discovery,shapley_method,importance_ratio_true,mean_shap_true_parents,mean_shap_non_parents,true_parents_in_top5,total_true_parents,importance_ratio_discovered,mean_shap_discovered,discovered_parents_in_top5,total_discovered_parents,true_parent_features,discovered_parent_features,true_parent_recall,dataset_type
linear_conf_f10_s500_p50,LGBM,LINGAM,Flow,0.7538373813304514,2.9771699283463833,3.9493530064693276,1,5,0.10645780976417496,0.40486788404771695,0,1,"[2, 3, 5, 6, 8]",[2],0.2,linear_conf
linear_conf_f10_s500_p50,NN,PC,Scratch,4.181488889773789,1.0708080753597193,0.25608296556245264,4,5,0.7597692861356595,0.5164727922274515,1,1,"[2, 3, 5, 6, 8]",[3],0.8,linear_conf
linear_conf_f10_s500_p50,NN,PC,Asymmetric,4.124259952030653,1.0862547697638216,0.26338174179078716,4,5,0.7380388477799448,0.5114398245271904,1,1,"[2, 3, 5, 6, 8]",[3],0.8,linear_conf
linear_conf_f10_s500_p50,NN,PC,Causal,3.039501810828319,1.011470890751956,0.33277522229088985,4,5,0.7592133703698115,0.5228749405092189,1,1,"[2, 3, 5, 6, 8]",[3],0.8,linear_conf
linear_conf_f10_s500_p50,NN,PC,Flow,1.9418279580636892,1.1918881475631946,0.6137969857801905,2,5,0.0,0.0,0,1,"[2, 3, 5, 6, 8]",[3],0.4,linear_conf
linear_conf_f10_s500_p50,NN,LINGAM,Scratch,4.181488889773789,1.0708080753597193,0.25608296556245264,4,5,0.16087900536997302,0.11651115071640769,0,1,"[2, 3, 5, 6, 8]",[2],0.8,linear_conf
linear_conf_f10_s500_p50,NN,LINGAM,Asymmetric,3.8769891002674646,1.1014195146907508,0.28409146536284213,4,5,0.16570576479880753,0.12524248676444696,0,1,"[2, 3, 5, 6, 8]",[2],0.8,linear_conf
linear_conf_f10_s500_p50,NN,LINGAM,Causal,5.904495109458102,1.0419580317738444,0.17646860780776774,4,5,0.11882860347871108,0.07938735462552102,0,1,"[2, 3, 5, 6, 8]",[2],0.8,linear_conf
linear_conf_f10_s500_p50,NN,LINGAM,Flow,2.5450638931579324,11.418676384158406,4.486597139999513,2,5,0.06331738754889506,0.5555804374586976,0,1,"[2, 3, 5, 6, 8]",[2],0.4,linear_conf
nonlinear_no_conf_f10_s500_p50,LGBM,PC,Scratch,6.0586936887005525,0.2594162377441103,0.04281718982227488,5,5,3.3945851739957087,0.23345937595514193,4,5,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 8]",1.0,nonlinear_no
