feature,importance
X33,1.5116776569111687
X24,1.3847983739844834
X47,1.0961044475700958
X46,0.8523845667891311
X7,0.7578039024155174
X41,0.7489214818345589
X48,0.6955637795456227
X39,0.5814856735771169
X44,0.49636731604883283
X6,0.44594774844403756
X49,0.37512808208014886
X30,0.3428162716961423
X0,0.33320977125939555
X40,0.31481648170892734
X15,0.2065036488085373
X2,0.14314487862407635
X5,0.12597487458647547
X1,0.08785206037130516
X4,0.08406655709277104
X45,0.07310338938395516
X13,0.07214929515042998
X19,0.06222313892890728
X37,0.05664517690757718
X12,0.05480902738173374
X38,0.049301345319863216
X20,0.048514310908544404
X42,0.043437745591674626
X22,0.0428121539906239
X25,0.03973668342567406
X10,0.039589650241323444
X35,0.03832199582089226
X21,0.03172695208095583
X8,0.03165234422852309
X18,0.030643247085318914
X17,0.029790208683969324
X28,0.028417532767471138
X31,0.02455507516879651
X23,0.023557340157522203
X43,0.02178558763323081
X36,0.021471302357768146
X34,0.020749367688476177
X26,0.020684215156626468
X27,0.01951501689783147
X32,0.019336438281379143
X29,0.016651454863253933
X11,0.014435852097014139
X16,0.01256847098954205
X14,0.01234106804863077
X9,0.01176262179253472
X3,0.006540728275676142
